Company;Rating;Reviews
Teleperformance;4.3;69900
IBM;4.0;119100
Google;4.3;57300
Microsoft;4.2;58400
Apple;3.6;45400
SAP;4.2;32100
HP Inc.;4.1;11300
Concentrix;4.0;44000
Freelancer;4.2;18000
BBVA;4.2;6300
Nestlé;4.1;17400
Decathlon;3.6;10100
Schneider Electric;4.3;17000
Salesforce;4.1;21700
Hewlett Packard Enterprise | HPE;4.1;19200
Siemens;4.2;23500
Ericsson-Worldwide;4.0;19800
Airbus;4.2;7500
Telefónica;4.1;4500
EPAM Systems;4.1;11800
Roche;4.2;9300
McKinsey & Company;4.1;12900
Procter & Gamble;4.1;18600
L'Oréal;4.2;14900
Gartner;4.0;8500
Boston Consulting Group;4.2;10200
Cisco;4.2;35600
Booking.com;4.1;8300
Dell Technologies;4.0;38700
Robert Bosch;4.2;17800
Leroy Merlin;4.0;5700
GE;4.0;20000
American Express;4.1;19000
Orange;4.0;10000
Amadeus;4.1;5300
NIKE;4.0;15400
Marriott International;4.0;19300
Novartis;4.0;11200
Allianz;4.0;9700
Unilever;4.1;17900
Sanofi;4.0;11400
Johnson & Johnson;4.1;17500
SelfEmployed.com;4.4;16200
Globant;4.0;9800
Meta;4.0;19500
Danone;4.0;6200
Umbrella Corporation;4.4;320
Henkel;4.3;8200
Ford Motor Company;4.1;15200
Autodesk;4.3;5000
VMware;4.4;12000
ING;4.0;5600
Criteo;4.1;1800
Zurich Insurance;4.2;3400
Electronic Arts;4.1;4600
Sage;4.0;5500
The Coca-Cola Company;4.1;9900
Autonomo;4.4;2200
ABB;4.0;10600
Nokia;4.0;20400
Hilton;4.0;12000
GFT Technologies;4.3;2600
Manpower;4.1;9800
Philip Morris International;4.0;5600
Bain & Company;4.3;8500
Red Hat;4.1;5000
Mercedes-Benz Group;4.1;5900
freelance;4.2;2500
Repsol;4.0;1200
Boehringer Ingelheim;4.2;4500
Infor;4.0;5400
AstraZeneca;4.0;8500
Intel Corporation;4.0;34100
J.P. Morgan;4.1;24800
Freelance;4.2;2600
Mondelēz International;4.0;7900
ArcelorMittal;4.0;4900
Thomson Reuters;4.1;17000
Robert Walters;4.0;2500
Honeywell;4.0;23500
MAERSK;4.0;7000
Softtek;4.0;3500
Eli Lilly and Company;4.1;5400
AbbVie;4.0;5600
The HEINEKEN Company;4.3;5200
Volkswagen Group;4.1;4700
Colt Technology Services;4.4;1800
GE HealthCare;4.2;8400
Saint-Gobain;4.1;5600
Devoteam;4.0;2800
Acciona;4.1;878
JPMorganChase;4.0;31600
Agilent Technologies;4.0;2800
TravelPerk;4.1;361
Mars;4.3;5800
Boston Scientific;4.1;5900
Diageo;4.0;4000
MongoDB;4.2;2200
Arup;4.0;4400
Adobe;4.2;10400
Oliver Wyman;4.2;2300
Merck;4.1;7300
Job&Talent;4.0;917
BAT;4.0;6300
Michelin;4.1;3600
Cargill;4.0;8200
GMV;4.2;499
Dynatrace;4.1;1500
MSD;4.2;3300
BMW Group;4.1;5900
SEIDOR;4.1;753
Accor;4.0;4200
RSM;3.8;7500
TotalEnergies;4.0;6400
Siemens Healthineers;4.0;5300
Merck KGaA;4.0;3200
Mastercard;4.2;7400
SAS;4.0;3600
Shell;4.1;15500
LinkedIn;4.0;7800
Airbnb;4.2;2800
Red Bull;4.2;4100
PTC;4.1;2900
Jet2.com and Jet2holidays;4.0;1300
US Air Force;4.1;30100
American Express Global Business Travel;4.2;2400
Bosch;4.1;3300
Yahoo;4.0;6400
Dow;4.1;4600
Keysight Technologies;3.9;2500
Stryker;4.1;7500
IHG Hotels and Resorts;4.0;5200
BD;4.0;5400
Hilti Group;4.0;3200
Visa Inc.;4.1;7200
Cabify;4.0;495
Morningstar;3.9;3600
Grupo Bimbo;3.7;2900
NEORIS;4.0;1200
Hyatt;4.0;7400
Janssen;4.0;2300
Nutanix;4.0;2400
Takeda Pharmaceuticals;4.0;4800
Kearney;4.0;2500
Deel;4.6;1300
Air Products;4.1;1500
DocPlanner;4.5;678
Itaú Unibanco (Itaú BBA e Rede);4.4;26900
Grupo Planeta;4.7;581
Wellhub;4.2;1200
Arcadis;4.0;4800
Dassault Systèmes;4.1;4500
CHEP;4.1;1100
NetApp;4.0;5500
Sony;4.1;3900
Preply;4.1;392
Tetra Pak;4.3;2300
Pernod Ricard;4.1;2200
ServiceNow;4.4;5100
Avature;4.2;635
